2016-07-15,34
2016-08-15,39
2016-09-15,42
2016-10-15,41
2016-11-15,39
2016-12-15,41
2017-01-15,44
2017-02-15,41
2017-03-15,41
2017-04-15,40
2017-05-15,41
2017-06-15,45
2017-07-15,43
2017-08-15,31
2017-09-15,32
2017-10-15,38
2017-11-15,49
2017-12-15,25
2018-01-15,23
2018-02-15,25
2018-03-15,46
2018-04-15,75
2018-05-15,35
2018-06-15,38
2018-07-15,49
2018-08-15,48
2018-09-15,75
2018-10-15,44
2018-11-15,48
2018-12-15,46
2019-01-15,50
2019-02-15,47
2019-03-15,49
2019-04-15,47
2019-05-15,47
2019-06-15,75
2019-07-15,75
2019-08-15,75
2019-09-15,75
2019-09-15,75
